"","gene_id","gene_name","entrez_id"
"1","ENSG00000223972","DDX11L1",NA
"2","ENSG00000243485","MIR1302-2HG",NA
"3","ENSG00000284332","MIR1302-2",NA
"4","ENSG00000268020","OR4G4P",NA
"5","ENSG00000240361","OR4G11P",NA
"6","ENSG00000186092","OR4F5",79501
"7","ENSG00000233750","CICP27",NA
"8","ENSG00000241599",NA,NA
"9","ENSG00000279928",NA,NA
"10","ENSG00000286448",NA,NA
"11","ENSG00000236601",NA,NA
"12","ENSG00000269732","WBP1LP7",NA
"13","ENSG00000233653","CICP7",NA
"14","ENSG00000235146",NA,NA
"15","ENSG00000225972","MTND1P23",NA
"16","ENSG00000225630","MTND2P28",NA
"17","ENSG00000237973","MTCO1P12",NA
"18","ENSG00000229344","MTCO2P12",NA
"19","ENSG00000240409","MTATP8P1",NA
"20","ENSG00000248527","MTATP6P1",NA
"21","ENSG00000198744","MTCO3P12",NA
"22","ENSG00000268663","WBP1LP6",NA
"23","ENSG00000229376","CICP3",NA
"24","ENSG00000229905",NA,NA
"25","ENSG00000237491","LINC01409",NA
"26","ENSG00000285268",NA,NA
"27","ENSG00000177757","FAM87B",NA
"28","ENSG00000228794","LINC01128",NA
"29","ENSG00000288531",NA,NA
"30","ENSG00000234711","TUBB8P11",NA
"31","ENSG00000272438",NA,NA
"32","ENSG00000230699",NA,NA
"33","ENSG00000241180",NA,NA
"34","ENSG00000187634","SAMD11",148398
"35","ENSG00000187961","KLHL17",339451
"36","ENSG00000187583","PLEKHN1",84069
"37","ENSG00000187608","ISG15",9636
"38","ENSG00000188157","AGRN",375790
"39","ENSG00000242590",NA,NA
"40","ENSG00000217801",NA,NA
"41","ENSG00000285812",NA,NA
"42","ENSG00000223823","LINC01342",NA
"43","ENSG00000207730","MIR200B",406984
"44","ENSG00000207607","MIR200A",NA
"45","ENSG00000198976","MIR429",NA
"46","ENSG00000272141",NA,NA
"47","ENSG00000162571","TTLL10",254173
"48","ENSG00000176022","B3GALT6",126792
"49","ENSG00000230415","LINC01786",NA
"50","ENSG00000162572","SCNN1D",6339
"51","ENSG00000169972","PUSL1",126789
"52","ENSG00000224051","CPTP",80772
"53","ENSG00000169962","TAS1R3",83756
"54","ENSG00000223663","NDUFB4P8",NA
"55","ENSG00000224870","MRPL20-AS1",NA
"56","ENSG00000272455",NA,NA
"57","ENSG00000225905",NA,NA
"58","ENSG00000205116","TMEM88B",643965
"59","ENSG00000179403","VWA1",64856
"60","ENSG00000215915","ATAD3C",219293
"61","ENSG00000160072","ATAD3B",83858
"62","ENSG00000284740",NA,NA
"63","ENSG00000197785","ATAD3A",55210
"64","ENSG00000215014",NA,NA
"65","ENSG00000286989",NA,NA
"66","ENSG00000197530","MIB2",142678
"67","ENSG00000189409","MMP23B",8510
"68","ENSG00000272004",NA,NA
"69","ENSG00000269737",NA,NA
"70","ENSG00000215914","MMP23A",NA
"71","ENSG00000227775",NA,NA
"72","ENSG00000231050",NA,NA
"73","ENSG00000169885","CALML6",163688
"74","ENSG00000187730","GABRD",2563
"75","ENSG00000067606","PRKCZ",5590
"76","ENSG00000234396",NA,NA
"77","ENSG00000157933","SKI",6497
"78","ENSG00000287356",NA,NA
"79","ENSG00000157916","RER1",11079
"80","ENSG00000149527","PLCH2",9651
"81","ENSG00000272449",NA,NA
"82","ENSG00000157873","TNFRSF14",8764
"83","ENSG00000225931",NA,NA
"84","ENSG00000228037",NA,NA
"85","ENSG00000157870","PRXL2B",127281
"86","ENSG00000237058","MMEL1-AS1",NA
"87","ENSG00000285945",NA,NA
"88","ENSG00000283259",NA,NA
"89","ENSG00000287396",NA,NA
"90","ENSG00000169717","ACTRT2",140625
"91","ENSG00000142611","PRDM16",63976
"92","ENSG00000283572","MIR4251",NA
"93","ENSG00000279839",NA,NA
"94","ENSG00000130762","ARHGEF16",27237
"95","ENSG00000272088",NA,NA
"96","ENSG00000158109","TPRG1L",127262
"97","ENSG00000078900","TP73",7161
"98","ENSG00000276189",NA,NA
"99","ENSG00000162592","CCDC27",148870
"100","ENSG00000235169","SMIM1",388588
"101","ENSG00000266075","RN7SL574P",NA
"102","ENSG00000272153",NA,NA
"103","ENSG00000169598","DFFB",1677
"104","ENSG00000236423","LINC01134",NA
"105","ENSG00000233304","LINC01346",NA
"106","ENSG00000284668","LINC02780",NA
"107","ENSG00000235054","LINC01777",NA
"108","ENSG00000232596","LINC01646",NA
"109","ENSG00000196581","AJAP1",55966
"110","ENSG00000284674","LINC02781",NA
"111","ENSG00000260972",NA,NA
"112","ENSG00000283356",NA,NA
"113","ENSG00000264341",NA,NA
"114","ENSG00000069424","KCNAB2",8514
"115","ENSG00000158286","RNF207",388591
"116","ENSG00000225077","LINC00337",NA
"117","ENSG00000173673","HES3",390992
"118","ENSG00000271746",NA,NA
"119","ENSG00000187017","ESPN",83715
"120","ENSG00000253022","RNU6-731P",NA
"121","ENSG00000229519",NA,NA
"122","ENSG00000173662","TAS1R1",80835
"123","ENSG00000204859","ZBTB48",3104
"124","ENSG00000116273","PHF13",148479
"125","ENSG00000041988","THAP3",90326
"126","ENSG00000228750","LINC01672",NA
"127","ENSG00000284744",NA,NA
"128","ENSG00000171735","CAMTA1",23261
"129","ENSG00000207056","RNU1-8P",NA
"130","ENSG00000237402","CAMTA1-IT1",NA
"131","ENSG00000049245","VAMP3",9341
"132","ENSG00000269925",NA,NA
"133","ENSG00000049246","PER3",8863
"134","ENSG00000270330",NA,NA
"135","ENSG00000116288","PARK7",11315
"136","ENSG00000284747",NA,NA
"137","ENSG00000238290",NA,NA
"138","ENSG00000229305",NA,NA
"139","ENSG00000227634","LINC01714",NA
"140","ENSG00000162426","SLC45A1",50651
"141","ENSG00000252254",NA,NA
"142","ENSG00000232912","RERE-AS1",NA
"143","ENSG00000270282",NA,NA
"144","ENSG00000234619","RPL7P11",NA
"145","ENSG00000226545",NA,NA
"146","ENSG00000229716","RPL23AP19",NA
"147","ENSG00000230679","ENO1-AS1",NA
"148","ENSG00000238249","HMGN2P17",NA
"149","ENSG00000232663",NA,NA
"150","ENSG00000131686","CA6",765
"151","ENSG00000252404",NA,NA
"152","ENSG00000234546","LNCTAM34A",NA
"153","ENSG00000049239","H6PD",9563
"154","ENSG00000171621","SPSB1",80176
"155","ENSG00000171612","SLC25A33",84275
"156","ENSG00000231181",NA,NA
"157","ENSG00000188807","TMEM201",199953
"158","ENSG00000171608","PIK3CD",5293
"159","ENSG00000271264","MZT1P1",NA
"160","ENSG00000223989",NA,NA
"161","ENSG00000285701",NA,NA
"162","ENSG00000228150",NA,NA
"163","ENSG00000173614","NMNAT1",64802
"164","ENSG00000202415","RN7SKP269",NA
"165","ENSG00000265521","MIR5697",NA
