feature	group	avgExpr	logFC	statistic	auc	pval	padj	pct_in	pct_out
ATF1-regulon	Activated	0.115282891346733	0.00944753984421344	55666838	0.681446360306627	1.08353600431113e-156	6.41092135884088e-156	100	100
ATF3-regulon	Activated	0.0709182646823648	0.0207555023509353	65221267.5	0.798407039977013	0	0	100	100
ATF4-regulon	Activated	0.125604397215999	0.0175803622398163	59208270.5	0.724798854791703	2.1157655784312e-239	2.31106701644023e-238	100	100
ATF5-regulon	Activated	0.125307174692447	0.00717050244946621	46137207.5	0.564789257934619	1.68806183996941e-21	3.28362714076242e-21	100	99.9977010437262
ATF6-regulon	Activated	0.132908195633545	-0.00365710853031054	42714479	0.522889880092415	0.000767297673447804	0.000972823835978466	100	100
ATF6B-regulon	Activated	0.0575383321125472	0.000252261160736872	43519060.0332031	0.532739169837379	1.49182100783425e-06	2.09741171398479e-06	99.8402555910543	99.9241344429629
BACH1-regulon	Activated	0.056524256874996	0.0138131113678839	55149965	0.675119052393238	4.30066068736415e-146	2.34882237540658e-145	100	99.5448066577774
BATF-regulon	Activated	0.0397888194025127	0.0213803455259567	55509184	0.679516436704935	1.2793530506638e-172	8.65086348544092e-172	75.2928647497338	50.6988827072509
BATF3-regulon	Activated	0.0981003034457006	0.0155815710564632	54203387	0.663531504833121	1.17828147642704e-127	5.7695161949186e-127	100	100
BCL11A-regulon	Activated	0.191107722119286	-0.0139708274568562	25518116	0.312380366746937	2.15107878202696e-167	1.38842357749013e-166	100	100
BHLHE40-regulon	Activated	0.0646026815849241	0.00933798108191049	52916910	0.647783079006093	1.29912276399642e-104	5.12431756909698e-104	100	100
BRF2-regulon	Activated	0.0511085794683546	0.00990623879018914	53647892	0.656731405177406	2.02184454312048e-117	8.7000583370639e-117	99.9467518636848	99.7195273345901
CEBPB-regulon	Activated	0.158725820343702	0.0163087790675349	59950323.5	0.733882706761248	5.79206665817656e-259	7.47703150419156e-258	100	100
CEBPG-regulon	Activated	0.0850318970096619	0.0177038830397894	58511073.5	0.716264108160923	1.00190530559868e-221	9.48470355966755e-221	100	100
CLOCK-regulon	Activated	0.0177756049539532	0.00227503585698379	43344964.5	0.530607976981645	1.68912215585164e-06	2.35152300128365e-06	55.4313099041534	50.9057887718976
CREB1-regulon	Activated	0.0439780625454643	0.00105033700306615	42571888.5	0.521144356532422	0.00188501684287281	0.00228779821955504	100	99.9931031311784
CREB3-regulon	Activated	0.236162543467567	-0.00379451563503488	41888336	0.512776639235393	0.0603953584510415	0.0686091272003832	100	100
CREB3L2-regulon	Activated	0.122996387577075	-0.00394404970098702	41313636.5	0.505741447429725	0.398741450943733	0.416332985544192	100	100
CREB3L4-regulon	Activated	0.0108892589098173	-0.000221242377143858	40530302.5	0.496152253532913	0.491688489588395	0.50594032986632	30.5644302449414	31.3807531380753
CREB5-regulon	Activated	0.0551936085274399	0.0167109192596535	57699203	0.70632558430826	5.28413587637412e-202	4.68967059028203e-201	99.8935037273695	99.6114763897191
CREM-regulon	Activated	0.155234552482291	0.00546101218668354	49282065	0.603287074122023	4.72335805326702e-52	1.28984008377676e-51	100	100
CTCF-regulon	Activated	0.361445373524502	-0.00980049638608332	32044556	0.392273871453627	1.82842685569735e-56	5.09091399037303e-56	100	100
CUX1-regulon	Activated	0.0683453848486769	-0.00871330263150961	28435156.5	0.348089358006545	1.99048705856917e-110	8.0756903519092e-110	100	100
DDIT3-regulon	Activated	0.0974298942230949	0.0130623867688133	55092057	0.674410170817593	6.27507942571583e-145	3.30022695722832e-144	100	100
E2F1-regulon	Activated	0.41527431284209	-0.0233886124210815	31319513.5	0.383398253752967	7.72594600016931e-66	2.43796518227565e-65	100	100
E2F2-regulon	Activated	0.0495272455601046	-0.00458344365810631	33795814	0.413711920262109	7.3905748767054e-37	1.69268005240672e-36	100	100
E2F3-regulon	Activated	0.0248268011384617	0.00387174051199218	51701268	0.632901780802378	5.67006041714376e-85	2.11881205061688e-84	100	100
E2F4-regulon	Activated	0.418412345176259	0.0206077260724427	53888284	0.659674167140046	8.5094944496894e-122	3.77608816204967e-121	100	100
E2F6-regulon	Activated	0.0854968420534152	0.0136610183308621	57427005	0.70299346876071	1.34304586404819e-195	1.12183830996966e-194	100	100
E2F7-regulon	Activated	0.0302316933268387	-0.00035711397848185	40435057.5	0.494986310560054	0.461179530057777	0.478010899767915	100	100
E2F8-regulon	Activated	0.0695306705002889	-0.00549329411434434	35441722	0.43386032560174	2.45023348575551e-22	4.90046697151102e-22	100	100
EGR1-regulon	Activated	0.0511347992905428	0.00383031852564597	49997166.5	0.612040998934939	6.26380781743759e-61	1.89246959590668e-60	100	100
EGR2-regulon	Activated	0.0632183228894073	0.0179117364758025	61623846.5	0.75436916150185	6.37579262914455e-306	9.05362553338526e-305	100	99.9954020874523
EGR3-regulon	Activated	0.0593242589395023	0.0186239136132887	63618907	0.778791721955463	0	0	100	99.9954020874523
ELF1-regulon	Activated	0.691134449677632	-0.0165971033328927	30793202	0.37695540431247	4.18626726071662e-73	1.38244174656223e-72	100	100
ELF2-regulon	Activated	0.0316981619578316	-0.000999256825570102	40339064.5	0.493811210934943	0.363022442551117	0.381845828461175	99.8935037273695	99.519518138765
ELF4-regulon	Activated	0.0175355866101296	-0.000950869407638989	38988456.5	0.477277724592481	0.000838678948570836	0.00105391513891202	98.2960596379127	98.3378546140052
ELK1-regulon	Activated	0.065378644018588	-0.000705527333793948	39574255.5	0.484448791079521	0.0222718283585051	0.0259229477615387	100	100
ELK3-regulon	Activated	0.0574172019745134	-0.0078115549904933	30329679	0.371281181155257	7.96135365850284e-80	2.89874928078821e-79	100	100
ELK4-regulon	Activated	0.0504158886906491	0.00565281116247896	46125137	0.564641496743439	2.07672510000595e-21	3.98506708379519e-21	97.6038338658147	96.6918019219274
ESRRA-regulon	Activated	0.100648533006368	0.00929761263421881	53993654	0.660964055439171	9.68915997676309e-124	4.43826037645277e-123	100	100
