gene_name	set
CNTN1	CD40L_up_only
PRDM11	CD40L_up_only
TBPL1	CD40L_up_only
PIAS1	CD40L_up_only
ARID1B	CD40L_up_only
MSH4	CD40L_up_only
STAG3	CD40L_up_only
TP53BP1	CD40L_up_only
FGFR3	CD40L_up_only
MEF2A	CD40L_up_only
RAB27A	CD40L_up_only
SPTB	CD40L_up_only
SLC44A1	CD40L_up_only
RPS6KA2	CD40L_up_only
PICALM	CD40L_up_only
MARK3	CD40L_up_only
BAZ2A	CD40L_up_only
ICAM3	CD40L_up_only
TULP3	CD40L_up_only
RBFOX1	CD40L_up_only
DLGAP4	CD40L_up_only
TCF7	CD40L_up_only
COL19A1	CD40L_up_only
ZNF264	CD40L_up_only
NCOA1	CD40L_up_only
RAD54L	CD40L_up_only
PIGS	CD40L_up_only
CPXM1	CD40L_up_only
SNAP23	CD40L_up_only
CYP26A1	CD40L_up_only
JAK2	CD40L_up_only
CRYBB2P1	CD40L_up_only
DCAF11	CD40L_up_only
HCK	CD40L_up_only
SMAD7	CD40L_up_only
KLF5	CD40L_up_only
SYT17	CD40L_up_only
HERC1	CD40L_up_only
CD276	CD40L_up_only
DMXL2	CD40L_up_only
IKBKB	CD40L_up_only
FCER2	CD40L_up_only
PLIN3	CD40L_up_only
CCL24	CD40L_up_only
FKTN	CD40L_up_only
PALD1	CD40L_up_only
PPP3CB	CD40L_up_only
MED13	CD40L_up_only
COL1A1	CD40L_up_only
SGCA	CD40L_up_only
GALNT7	CD40L_up_only
NRXN2	CD40L_up_only
CD69	CD40L_up_only
KCNA1	CD40L_up_only
ALDH2	CD40L_up_only
STX2	CD40L_up_only
WWC1	CD40L_up_only
C3orf52	CD40L_up_only
RNF19B	CD40L_up_only
MYCL	CD40L_up_only
TNFSF4	CD40L_up_only
NSL1	CD40L_up_only
STX12	CD40L_up_only
SLC5A9	CD40L_up_only
MYB	CD40L_up_only
WDR35	CD40L_up_only
KLHL29	CD40L_up_only
ATAD2B	CD40L_up_only
PLEKHG1	CD40L_up_only
ENOX1	CD40L_up_only
NACA3P	CD40L_up_only
TMEM131L	CD40L_up_only
ECHDC2	CD40L_up_only
A1BG	CD40L_up_only
DPPA4	CD40L_up_only
ADGRB2	CD40L_up_only
PIK3CA	CD40L_up_only
MTERF4	CD40L_up_only
KIAA1191	CD40L_up_only
MED13L	CD40L_up_only
MED20	CD40L_up_only
TTF1	CD40L_up_only
SH2D3A	CD40L_up_only
KDM5C	CD40L_up_only
ST3GAL3	CD40L_up_only
ASL	CD40L_up_only
SPECC1	CD40L_up_only
SMO	CD40L_up_only
TPH1	CD40L_up_only
ZNF337	CD40L_up_only
ABCB7	CD40L_up_only
PIAS3	CD40L_up_only
CLUHP3	CD40L_up_only
FLOT2	CD40L_up_only
FAM83F	CD40L_up_only
RRAS2	CD40L_up_only
KATNBL1	CD40L_up_only
DOCK2	CD40L_up_only
DDB2	CD40L_up_only
KCNH3	CD40L_up_only
NHSL1	CD40L_up_only
FBXL8	CD40L_up_only
TM6SF1	CD40L_up_only
TANK	CD40L_up_only
KIF13A	CD40L_up_only
FCHSD2	CD40L_up_only
PRCP	CD40L_up_only
FXYD2	CD40L_up_only
KYAT3	CD40L_up_only
TMOD3	CD40L_up_only
BBS7	CD40L_up_only
CCDC65	CD40L_up_only
TCF12	CD40L_up_only
ZFHX3	CD40L_up_only
CTTNBP2NL	CD40L_up_only
PI4KB	CD40L_up_only
FANCD2	CD40L_up_only
GRIP2	CD40L_up_only
ZNF660	CD40L_up_only
NXPE3	CD40L_up_only
OTULINL	CD40L_up_only
GNA12	CD40L_up_only
TMEM168	CD40L_up_only
ZCCHC7	CD40L_up_only
PROSER2	CD40L_up_only
CCDC82	CD40L_up_only
PLCB3	CD40L_up_only
ADAM8	CD40L_up_only
BICD1	CD40L_up_only
RABGAP1L	CD40L_up_only
ATG10	CD40L_up_only
CAMK4	CD40L_up_only
RASGRP3	CD40L_up_only
STK32B	CD40L_up_only
CHST9	CD40L_up_only
JPH3	CD40L_up_only
LRGUK	CD40L_up_only
BACH1	CD40L_up_only
SAMD8	CD40L_up_only
ST3GAL2	CD40L_up_only
APPL1	CD40L_up_only
CCDC24	CD40L_up_only
RSPRY1	CD40L_up_only
TCAF2P1	CD40L_up_only
ICOSLG	CD40L_up_only
CFAP410	CD40L_up_only
PMF1	CD40L_up_only
IER2	CD40L_up_only
VCAM1	CD40L_up_only
SLC30A7	CD40L_up_only
VANGL2	CD40L_up_only
CAPN2	CD40L_up_only
ARHGAP25	CD40L_up_only
DNAJC5G	CD40L_up_only
MST1R	CD40L_up_only
IL15	CD40L_up_only
CMYA5	CD40L_up_only
ACSL6	CD40L_up_only
USP49	CD40L_up_only
TAGAP	CD40L_up_only
NOS3	CD40L_up_only
MYORG	CD40L_up_only
ANKS6	CD40L_up_only
CKB	CD40L_up_only
PLEKHF1	CD40L_up_only
MSS51	CD40L_up_only
RNF169	CD40L_up_only
MAPK7	CD40L_up_only
NDST2	CD40L_up_only
ZSCAN21	CD40L_up_only
NOD2	CD40L_up_only
SNX20	CD40L_up_only
GNG8	CD40L_up_only
DHRS13	CD40L_up_only
SLC43A2	CD40L_up_only
RILP	CD40L_up_only
SDHAF2	CD40L_up_only
PKIG	CD40L_up_only
CXXC4	CD40L_up_only
PARM1	CD40L_up_only
PTPN9	CD40L_up_only
ROBO1	CD40L_up_only
TCAF2	CD40L_up_only
DCLK2	CD40L_up_only
SPATA24	CD40L_up_only
PAQR8	CD40L_up_only
ATF7IP	CD40L_up_only
MOB3A	CD40L_up_only
TMCC1	CD40L_up_only
IQCK	CD40L_up_only
CEP135	CD40L_up_only
TRAF6	CD40L_up_only
TP53I11	CD40L_up_only
KCNE5	CD40L_up_only
SYNE3	CD40L_up_only
ANO6	CD40L_up_only
OR2T35	CD40L_up_only
HIC1	CD40L_up_only
TBL1XR1	CD40L_up_only
JUN	CD40L_up_only
CASC2	CD40L_up_only
PARP10	CD40L_up_only
GPC5	CD40L_up_only
PIK3CD-AS1	CD40L_up_only
TIGD2	CD40L_up_only
MAP6D1	CD40L_up_only
PJA1	CD40L_up_only
DHTKD1	CD40L_up_only
PHLDA2	CD40L_up_only
IBA57	CD40L_up_only
TMEM30B	CD40L_up_only
ALG12	CD40L_up_only
RGS7	CD40L_up_only
LINC01547	CD40L_up_only
LHFPL6	CD40L_up_only
MAATS1	CD40L_up_only
MED12	CD40L_up_only
NUTM2A	CD40L_up_only
RAD51D	CD40L_up_only
SPATA12	CD40L_up_only
PPARA	CD40L_up_only
TSPYL4	CD40L_up_only
TCTEX1D4	CD40L_up_only
HBA2	CD40L_up_only
CFAP54	CD40L_up_only
BNIP5	CD40L_up_only
TDRD7	CD40L_up_only
OR8A1	CD40L_up_only
SEMA4A	CD40L_up_only
LCOR	CD40L_up_only
ZNF140	CD40L_up_only
MRTFA	CD40L_up_only
OR2T4	CD40L_up_only
FBXL22	CD40L_up_only
TXNRD3	CD40L_up_only
ADAMTSL2	CD40L_up_only
ZNF71	CD40L_up_only
HYLS1	CD40L_up_only
ZXDB	CD40L_up_only
SMURF1	CD40L_up_only
L1CAM	CD40L_up_only
RNU5F-1	CD40L_up_only
RNU1-87P	CD40L_up_only
RNY1P11	CD40L_up_only
RNU6-302P	CD40L_up_only
SNHG5	CD40L_up_only
SYS1	CD40L_up_only
HLA-G	CD40L_up_only
INSYN2B	CD40L_up_only
TCTN1	CD40L_up_only
ACOT6	CD40L_up_only
HACD2	CD40L_up_only
MIR181B2	CD40L_up_only
IGKC	CD40L_up_only
IGKV4-1	CD40L_up_only
IGLV1-51	CD40L_up_only
IGLV1-47	CD40L_up_only
IGLV7-46	CD40L_up_only
IGLV1-44	CD40L_up_only
IGLV1-40	CD40L_up_only
IGLV3-25	CD40L_up_only
IGLV2-23	CD40L_up_only
IGLV3-19	CD40L_up_only
IGLV3-1	CD40L_up_only
IGLJ1	CD40L_up_only
IGLC3	CD40L_up_only
IGHE	CD40L_up_only
PDCL3P5	CD40L_up_only
SUPT4H1	CD40L_up_only
RPL7AP50	CD40L_up_only
GNL3LP1	CD40L_up_only
RAET1K	CD40L_up_only
ZGLP1	CD40L_up_only
LINC01465	CD40L_up_only
PGAM1P6	CD40L_up_only
TNPO1P1	CD40L_up_only
NUTM2B-AS1	CD40L_up_only
KCNMA1-AS3	CD40L_up_only
MROCKI	CD40L_up_only
EEF1A1P11	CD40L_up_only
ARL17B	CD40L_up_only
LINC02768	CD40L_up_only
LINC01362	CD40L_up_only
HNRNPA1P68	CD40L_up_only
LINC01712	CD40L_up_only
PRDX3P2	CD40L_up_only
TRAF3IP2-AS1	CD40L_up_only
C4BPAP2	CD40L_up_only
ATP11A-AS1	CD40L_up_only
TNF	CD40L_up_only
HNRNPA1P49	CD40L_up_only
MAP3K5-AS1	CD40L_up_only
USP27X-AS1	CD40L_up_only
ERICH3-AS1	CD40L_up_only
SETP9	CD40L_up_only
C12orf75	CD40L_up_only
LINC01055	CD40L_up_only
ASH1L-AS1	CD40L_up_only
CHCHD4P3	CD40L_up_only
TMSB4XP1	CD40L_up_only
NONOP2	CD40L_up_only
ZEB2-AS1	CD40L_up_only
RNU7-45P	CD40L_up_only
IGKV1-17	CD40L_up_only
RPS6P25	CD40L_up_only
RN7SL328P	CD40L_up_only
RPL36A	CD40L_up_only
IGKV1-33	CD40L_up_only
LINC00971	CD40L_up_only
RPSAP26	CD40L_up_only
APOBEC3C	CD40L_up_only
LINC02709	CD40L_up_only
FRG1-DT	CD40L_up_only
LRP4-AS1	CD40L_up_only
LINC01596	CD40L_up_only
CTBP2P4	CD40L_up_only
LINC02615	CD40L_up_only
IGKV1D-39	CD40L_up_only
RNU6-367P	CD40L_up_only
IGLL5	CD40L_up_only
SYS1-DBNDD2	CD40L_up_only
LINC00273	CD40L_up_only
DENND11	CD40L_up_only
MGAM	CD40L_up_only
SPESP1	CD40L_up_only
LINC02316	CD40L_up_only
LINC02490	CD40L_up_only
SPDYE6	CD40L_up_only
FBXL19-AS1	CD40L_up_only
ADAMTS7P3	CD40L_up_only
LINC01686	CD40L_up_only
IKBKE	CD40L_up_only
DLGAP1-AS4	CD40L_up_only
MIR4298	CD40L_up_only
RN7SL405P	CD40L_up_only
MIR4540	CD40L_up_only
TSPOAP1-AS1	CD40L_up_only
MIR4476	CD40L_up_only
LINC02132	CD40L_up_only
SNORD11B	CD40L_up_only
LINC01215	CD40L_up_only
RNA5SP108	CD40L_up_only
RN7SL726P	CD40L_up_only
BMS1P14	CD40L_up_only
RN7SL575P	CD40L_up_only
ARRDC3-AS1	CD40L_up_only
PRR33	CD40L_up_only
TPTEP2-CSNK1E	CD40L_up_only
FUCA2	BCR_up_only
LASP1	BCR_up_only
MATK	BCR_up_only
RHBDF1	BCR_up_only
RHOBTB2	BCR_up_only
CD22	BCR_up_only
XYLT2	BCR_up_only
AKAP11	BCR_up_only
SH2D2A	BCR_up_only
POU2F2	BCR_up_only
ATP6V0A1	BCR_up_only
THAP3	BCR_up_only
TNFRSF17	BCR_up_only
USP13	BCR_up_only
ANKS1A	BCR_up_only
NTHL1	BCR_up_only
KDM4A	BCR_up_only
SYT1	BCR_up_only
GBA2	BCR_up_only
NDST1	BCR_up_only
LMCD1	BCR_up_only
PTPN18	BCR_up_only
CIC	BCR_up_only
TDRD3	BCR_up_only
NOA1	BCR_up_only
ZNF213	BCR_up_only
GNAS	BCR_up_only
ERP29	BCR_up_only
NAT14	BCR_up_only
WHRN	BCR_up_only
NEFH	BCR_up_only
KIAA0930	BCR_up_only
IL2RB	BCR_up_only
PYGB	BCR_up_only
ABHD12	BCR_up_only
CTSZ	BCR_up_only
UBL4A	BCR_up_only
ACP5	BCR_up_only
HCFC1R1	BCR_up_only
MPG	BCR_up_only
NME4	BCR_up_only
METRN	BCR_up_only
CLUAP1	BCR_up_only
HOMER2	BCR_up_only
CCDC61	BCR_up_only
DNASE2	BCR_up_only
USF2	BCR_up_only
FKBP8	BCR_up_only
ERF	BCR_up_only
PIK3CG	BCR_up_only
PLEKHA8	BCR_up_only
IMPDH1	BCR_up_only
RPA3	BCR_up_only
ALDOC	BCR_up_only
CCDC34	BCR_up_only
KRT18	BCR_up_only
ACAD10	BCR_up_only
OAS2	BCR_up_only
RASAL1	BCR_up_only
ENO2	BCR_up_only
PTPN6	BCR_up_only
MAN1A1	BCR_up_only
RNF130	BCR_up_only
DBN1	BCR_up_only
ACTR8	BCR_up_only
BCL6	BCR_up_only
RAP1A	BCR_up_only
CD48	BCR_up_only
ID3	BCR_up_only
LRMP	BCR_up_only
PHF19	BCR_up_only
KDSR	BCR_up_only
LGALSL	BCR_up_only
TRIM25	BCR_up_only
CRY2	BCR_up_only
SEPTIN7	BCR_up_only
AGO2	BCR_up_only
USP22	BCR_up_only
DEK	BCR_up_only
MBOAT7	BCR_up_only
AHDC1	BCR_up_only
RAC2	BCR_up_only
THEM6	BCR_up_only
ANGPTL6	BCR_up_only
NFATC1	BCR_up_only
KCNC3	BCR_up_only
MGAT1	BCR_up_only
NDFIP1	BCR_up_only
C19orf57	BCR_up_only
FCRLA	BCR_up_only
TBC1D14	BCR_up_only
PRMT7	BCR_up_only
HMGB1P5	BCR_up_only
CD180	BCR_up_only
GSTM1	BCR_up_only
TAOK3	BCR_up_only
SPRY2	BCR_up_only
TTYH3	BCR_up_only
SLC31A1	BCR_up_only
ATP6V1G1	BCR_up_only
HINT2	BCR_up_only
ZSCAN9	BCR_up_only
MYOF	BCR_up_only
SLC39A8	BCR_up_only
RAB20	BCR_up_only
ITGAX	BCR_up_only
ZCCHC14	BCR_up_only
RANBP10	BCR_up_only
EVI5L	BCR_up_only
SH3BGRL3	BCR_up_only
LMO4	BCR_up_only
CD53	BCR_up_only
FCRL5	BCR_up_only
OCIAD2	BCR_up_only
ANKRD31	BCR_up_only
FAM50B	BCR_up_only
DOK3	BCR_up_only
CRIP3	BCR_up_only
PLPP5	BCR_up_only
ADM	BCR_up_only
ENDOD1	BCR_up_only
SLX4IP	BCR_up_only
GRIK4	BCR_up_only
NUDT22	BCR_up_only
QDPR	BCR_up_only
RNF144A	BCR_up_only
RMND5A	BCR_up_only
ENAH	BCR_up_only
PIK3AP1	BCR_up_only
CCNB2	BCR_up_only
H2BC5	BCR_up_only
CD1C	BCR_up_only
SELENON	BCR_up_only
GFI1	BCR_up_only
H3-3A	BCR_up_only
KBTBD8	BCR_up_only
IFI16	BCR_up_only
MTMR14	BCR_up_only
FYCO1	BCR_up_only
TEX264	BCR_up_only
DUSP7	BCR_up_only
GFM2	BCR_up_only
PEX2	BCR_up_only
HECTD2	BCR_up_only
SKA3	BCR_up_only
ARF6	BCR_up_only
PIP4P1	BCR_up_only
TPP1	BCR_up_only
ANKRD11	BCR_up_only
KLK1	BCR_up_only
KLK4	BCR_up_only
VWCE	BCR_up_only
PNOC	BCR_up_only
BMI1	BCR_up_only
SLC33A1	BCR_up_only
TM2D2	BCR_up_only
IRF2BP1	BCR_up_only
RNF139	BCR_up_only
MFN1	BCR_up_only
TADA3	BCR_up_only
GAA	BCR_up_only
LDHAL6B	BCR_up_only
QARS1	BCR_up_only
CXCR6	BCR_up_only
CERS6	BCR_up_only
VEGFB	BCR_up_only
