gene	waldStat	df	pvalue	meanLogFC
AL669831.5	0.745865042828997	2	0.688711704567658	0.316400997476123
LINC00115	0.130839552222095	2	0.936674187391545	0.546278566119196
NOC2L	1.68780719571712	2	0.430028584097483	0.207176217535939
ISG15	0.489257326023225	2	0.782995239358594	0.189071577753775
TNFRSF18	16.6963801964234	2	0.000236824760331045	2.47804097479388
SDF4	0.586554521216831	2	0.745815326816596	0.26233617292545
B3GALT6	1.23762100442711	2	0.538584702033496	0.844119961539358
UBE2J2	0.848974651933462	2	0.654105041853785	0.238166988298943
ACAP3	0.761430908378763	2	0.683372312686121	0.806008718622375
PUSL1	4.8975592493205	2	0.0863989613496693	2.69235080177382
INTS11	1.85172534860239	2	0.396189489118439	0.290829024898746
CPTP	9.4216568553996	2	0.00899732086435912	1.21851788529739
AURKAIP1	20.5174098892391	2	3.50510515110258e-05	0.569862225690417
CCNL2	2.68931682145325	2	0.260628720631507	0.569266322475316
MRPL20	1.87783051423835	2	0.391051796024565	0.212224741178251
ATAD3B	1.31665264705544	2	0.517717100714085	0.818766541488464
ATAD3A	3.83529488222018	2	0.146952269661324	0.939705961335007
SSU72	0.187351179051871	2	0.910578115408439	0.0766792786302377
AL645728.1	0.813222606634837	2	0.66590297428105	1.14403182192091
MIB2	0.684684916186348	2	0.710104981866695	0.347794636704609
CDK11B	0.0925257935556169	2	0.954790917737018	0.0947370395122681
SLC35E2B	2.17885892015812	2	0.336408373370771	0.918715641933636
CDK11A	0.00371027824501308	2	0.998146580584479	0.0224554650546995
SLC35E2A	1.42074083583151	2	0.491462117366996	1.39026241789933
NADK	6.49692433597847	2	0.0388338819223206	0.478219977099251
GNB1	7.6505298264161	2	0.021812656304822	0.725208124450568
PRKCZ	2.24355111174537	2	0.325700980627916	1.45034141021601
FAAP20	4.31080645616554	2	0.115856464612792	0.758019182214612
MORN1	0.0152344171869542	2	0.992411728819183	0.226772904326562
RER1	15.1169123264584	2	0.000521680011294379	0.827456983330745
PEX10	0.64377916711328	2	0.724778213344435	0.203250884302244
PANK4	1.53348117010602	2	0.464524682176893	0.719434556281177
AL139246.5	2.12587155241367	2	0.34544018515893	2.53398963835694
TNFRSF14-AS1	0.642673340854849	2	0.725179063541819	0.521474763304285
TNFRSF14	1.8815227522368	2	0.390330533846995	0.56118294925952
AL139246.3	0.010727336669773	2	0.994650690450725	0.12020660496919
FAM213B	0.574636028335126	2	0.750273093421108	0.395066707619989
TPRG1L	2.14961223497778	2	0.341363933382006	0.844130224586796
WRAP73	10.3642787557224	2	0.00561597885241583	0.499590081264582
LRRC47	0.469410139274538	2	0.790804047363037	0.232639535062229
