TF,Targets
ARID3A,ANXA2
ARID3A,PLP2
ARID3A,ARID3A
ARID3A,LMNA
ARID3A,CD63
ARID3A,PTPN1
ARID3A,DOPEY2
ARID3A,AHNAK
ARID3A,ARL6IP5
ARID3A,TCF4
ARID3A,OXR1
ARID3A,CLDN14
ARID3A,MBNL1-AS1
ARID3A,FXYD2
ARID3A,SYTL1
ARID3A,CAPG
ARID3A,RNASET2
ARID3A,KIAA1551
ARID3A,DPYD
ARID3A,MIAT
ARID3A,OTUD7B
ARID3A,HIPK2
ARID3A,LRRC8D
ARID3A,HMOX1
ARID3A,SKI
ARID3A,RTKN
ARID3A,DNAJB5
ARID3A,FBXO32
ARID3A,PDGFA
ARID3A,SLC38A7
ARID3A,PARP4
ARID3A,ALDH1L2
ARID3A,TFE3
ARID3A,SND1-IT1
ARID3A,PLCD1
ARID3A,ZNF2
ARID3A,VIM
ARID3A,RORA
ARID3A,EDEM3
ARID3A,PRDM1
ARID3A,SLC7A11
ARNT,GZF1
ARNT,SNX16
ARNT,RIN3
ARNT,GABARAPL1
ARNT,PRKAR2B
ARNT,SLC11A2
ARNT,KHK
ARNT,ACSF2
ARNT,TMEM206
ARNT,MON1B
ARNT,CYP51A1
ARNT,NPIPB5
ARNTL2,PAF1
ARNTL2,TRAK1
ARNTL2,SIN3A
ARNTL2,BIN3
ARNTL2,VPS13A
ARNTL2,PRPF8
ARNTL2,RASAL1
ARNTL2,SLC25A40
ARNTL2,LDAH
ARNTL2,ILVBL
ARNTL2,OGFR
ARNTL2,RAB28
ARNTL2,TAGLN2
ARNTL2,GPR137
ARNTL2,ZCCHC9
ARNTL2,ADAM10
ARNTL2,EGR1
ARNTL2,CHD2
ARNTL2,NUTM2B-AS1
ARNTL2,TRA2B
ARNTL2,GLUL
ARNTL2,LUZP1
ARNTL2,KCNAB2
ARNTL2,CPSF6
ARNTL2,ESYT2
ARNTL2,PAFAH1B2
ARNTL2,ZNF562
ARNTL2,WDR82
ARNTL2,BRD2
ARNTL2,YY1
ARNTL2,RAB29
ARNTL2,GLB1
ARNTL2,FOXP1
ARNTL2,C5orf51
ARNTL2,SLC35A5
ARNTL2,NFATC3
ARNTL2,BEX4
ARNTL2,NME7
ARNTL2,AKAP11
ARNTL2,SGF29
ARNTL2,AHCYL1
ARNTL2,LONP1
ARNTL2,ZNF584
ARNTL2,MPND
ARNTL2,RAB11FIP4
ARNTL2,XPO7
ARNTL2,SLC25A39
ARNTL2,KANK2
ARNTL2,ECE1
ARNTL2,PHIP
ARNTL2,LIPE-AS1
ARNTL2,SMCO4
ARNTL2,DHX38
ARNTL2,ARFGEF1
ARNTL2,CSRNP1
ARNTL2,ARHGAP4
ARNTL2,FUNDC2
ARNTL2,PFKFB3
ARNTL2,ERBIN
ARNTL2,METTL22
ARNTL2,PEX10
ARNTL2,REC8
ARNTL2,NET1
ARNTL2,PER2
ARNTL2,NSD1
ARNTL2,DYNLT3
ARNTL2,DYRK1A
ARNTL2,CD2AP
ARNTL2,NAB1
ARNTL2,SEC14L1
ARNTL2,NBEAL1
ARNTL2,ZCCHC17
ARNTL2,C16orf91
ARNTL2,PITPNM1
ARNTL2,CXXC5
ARNTL2,ZC3HAV1
ARNTL2,PRKCE
ARNTL2,ZNF672
ARNTL2,CEP131
ARNTL2,CCDC92
ARNTL2,GINS4
ARNTL2,EFL1
ARNTL2,ZNF292
ARNTL2,METTL5
ARNTL2,PAXIP1
ARNTL2,NDFIP2
ARNTL2,TAF2
ARNTL2,EIF4G3
ARNTL2,PHF13
ARNTL2,RFX1
ARNTL2,E2F1
ARNTL2,BAZ2A
ARNTL2,CEP78
ARNTL2,PPP2R5A
ARNTL2,NCOA7
ARNTL2,LITAF
ARNTL2,MYSM1
ARNTL2,MT2A
ARNTL2,SLC30A9
ARNTL2,DDX3Y
ARNTL2,DDX19A
ARNTL2,JARID2
ARNTL2,DGKZ
ARNTL2,GGA1
ARNTL2,CSNK1G2
ARNTL2,RFWD3
ARNTL2,PAXBP1
ARNTL2,S100PBP
ARNTL2,PARD6A
ARNTL2,CDKN1B
ARNTL2,RPL5
ARNTL2,AHNAK
ARNTL2,NPAT
ARNTL2,KAT7
ARNTL2,MTFR1
ATF1,SFXN5
ATF1,MRRF
ATF1,HIST1H4E
ATF1,ARIH1
ATF1,TMEM147-AS1
ATF1,NCDN
ATF1,NCBP2
ATF1,PCGF1
ATF1,HOMEZ
ATF1,GPAM
ATF1,MFN2
ATF1,MNT
ATF1,FAM234A
ATF1,CCDC59
ATF1,AP5S1
ATF1,NELFA
ATF1,SLC4A8
ATF1,SRRT
ATF1,NCOA2
ATF1,SEPT7
ATF1,ING4
ATF1,CDK4
ATF1,NAA40
ATF1,CC2D1B
ATF1,KCNAB2
ATF1,AMD1
ATF1,WDR75
ATF1,SLMAP
ATF1,SLC16A1-AS1
ATF1,C20orf27
ATF1,CRYZL1
ATF1,EIF2B1
ATF1,TMEM242
ATF1,DCUN1D5
ATF1,EPB41L2
ATF1,CEP112
ATF1,KLHL42
ATF1,PSEN2
ATF1,FOSL1
ATF1,CDK19
ATF1,UBE2D3
ATF1,PRMT1
ATF1,CSGALNACT2
ATF1,OAT
ATF1,FBXO22
ATF1,PPP1R37
ATF1,IRF5
ATF1,MYBBP1A
ATF1,TNFAIP8
ATF1,TUSC2
ATF1,CAPNS1
ATF1,CBFA2T2
ATF1,FZD3
ATF1,NETO2
ATF1,RPL24
ATF1,WDR74
ATF1,KDSR
ATF1,DUSP3
ATF1,ZNF781
ATF1,GK5
ATF1,CLCF1
ATF1,LINC01224
ATF1,KLHL22
ATF1,GCAT
ATF1,LPCAT1
ATF1,ELP5
ATF1,CHEK1
ATF1,ARL6IP6
ATF1,HAUS5
ATF1,PLEKHA1
ATF1,GTPBP10
ATF1,CCSER2
ATF1,SERPINE2
ATF1,ZNF780A
ATF1,PDSS1
ATF1,SETD4
ATF1,MORF4L1
ATF1,NRP2
ATF1,ZNF551
ATF1,TMEM64
ATF1,EYA3
ATF1,ATF1
ATF1,LIN7C
ATF1,POLR2K
ATF1,EEF2K
ATF1,TRIM27
ATF1,ZBED3-AS1
ATF1,HLX
ATF1,RPS6KA5
ATF1,AUNIP
ATF1,ARMC7
ATF1,MAN2A2
ATF1,SP4
ATF1,GRPEL1
ATF1,GART
ATF1,RBM25
ATF1,ZPR1
ATF1,RAE1
ATF1,PARP16
ATF1,TMEM19
ATF1,COA1
ATF1,MRPS6
ATF1,ATF3
ATF1,BIRC2
ATF1,HNRNPU
ATF1,GEM
ATF1,CNTROB
ATF1,SNHG15
ATF1,XPO7
ATF1,CMSS1
ATF1,PPM1A
ATF1,PPP2R2A
ATF1,CDC5L
ATF1,DTL
ATF1,KLC1
ATF1,SLC25A37
ATF1,APTX
ATF1,GOLGA3
ATF1,NARS2
ATF1,ELAVL1
ATF1,ERF
ATF1,UBC
ATF1,RAD51C
ATF1,BCL11A
ATF1,HSP90AB1
ATF1,LMCD1
ATF1,TMEM251
ATF1,KDM4C
ATF1,ACY3
ATF1,ZNRD1
ATF1,NUP133
ATF1,MOAP1
ATF1,CCDC124
ATF1,NFATC2
ATF1,C2orf49
ATF1,UBA6
ATF1,CEP120
ATF1,VAMP3
ATF1,HMGCS1
ATF1,SEC23B
ATF1,BECN1
ATF1,SYBU
ATF1,XRCC6
ATF1,VPS4B
ATF1,TBC1D15
ATF1,MRPL49
ATF1,PPA1
ATF1,DMC1
ATF1,APPBP2
ATF1,ATP1B3
ATF1,BAG3
ATF1,LUZP1
ATF1,PHF20
ATF1,ZSWIM7
ATF1,NKRF
ATF1,ATL3
ATF1,FANCD2
ATF1,RPL21
ATF1,EGR2
ATF1,ASAH1
ATF1,NAF1
ATF1,YIF1B
ATF1,RIC1
ATF1,SCAF11
ATF1,TSC1
ATF1,MTDH
ATF1,RAB7A
ATF1,ZNF385C
ATF1,TWISTNB
ATF1,WBP11
ATF1,TBCCD1
ATF1,MAT2A
ATF1,MLLT10
ATF1,SLC10A3
ATF1,SSSCA1
ATF1,MFSD10
ATF1,NOC2L
ATF1,LZIC
ATF1,MBD6
ATF1,UBL7
ATF1,CPNE2
ATF1,POU3F1
ATF1,ARL4D
ATF1,PCED1A
ATF1,LTBP1
ATF1,YWHAH
ATF1,PNMA6A
ATF1,USP32
ATF1,NAT14
ATF1,TNFAIP1
ATF1,MAP3K12
ATF1,FAM220A
ATF1,SPECC1L
ATF1,ARAP1
ATF1,PTCH1
ATF1,METRNL
ATF1,NFKB1
ATF1,KCTD6
ATF1,CEBPG
ATF1,PARVB
ATF1,EIF3J
ATF1,BAG6
ATF1,UTP6
ATF1,DCAF10
ATF1,TBC1D9B
ATF1,PODXL2
ATF1,SMAGP
ATF1,SAT1
ATF1,LILRB3
ATF1,FGFBP3
ATF1,TCP11L1
ATF1,FBXO10
ATF1,ZC3HAV1
ATF1,RPF2
ATF1,MPHOSPH8
ATF1,KBTBD8
ATF1,IWS1
ATF1,KIAA0319L
ATF1,ZNF28
ATF1,SLC38A6
ATF1,RNF44
ATF1,CYHR1
ATF1,RBM23
ATF1,ZNF295-AS1
ATF1,ANAPC10
ATF1,MRM3
ATF1,TRIP6
ATF1,RPS29
ATF1,GTF2H1
ATF1,FOXP1
ATF1,NDUFA10
ATF1,IMPDH2
ATF1,ZFAND2B
ATF1,RELB
ATF1,TMEM147
ATF1,NOLC1
ATF1,ATG101
ATF1,CTU2
ATF1,RPRD1A
ATF1,RING1
ATF1,CDCA5
ATF1,MAGOH
ATF1,MBIP
ATF1,ZC3H18
ATF1,TLE3
ATF1,PMAIP1
ATF1,PARD6A
ATF1,NFIC
ATF1,SPOP
ATF1,NAA50
ATF1,CWC25
ATF1,BDP1
ATF1,INSIG2
ATF1,HIP1R
ATF1,PPP1R11
ATF1,STRAP
ATF1,RRP9
ATF1,TOMM40
ATF1,ISG20L2
ATF1,CENPQ
ATF1,CBX8
ATF1,XPNPEP3
ATF1,ZNF165
ATF1,NDRG4
ATF1,ADARB1
ATF1,ITPRIP
ATF1,GIGYF1
ATF1,ZNF507
ATF1,SLC35F6
ATF1,BACH2
ATF1,COQ7
ATF1,TBC1D7
ATF1,REL
ATF1,SMIM14
ATF1,NAPA-AS1
ATF1,TMEM183A
ATF1,TXNL1
ATF1,LDLRAD4
ATF1,ATXN1
ATF1,CD151
ATF1,DPM1
ATF1,ANAPC2
ATF1,UTP18
ATF1,GNL2
ATF1,FDXR
ATF1,PHF5A
ATF1,GTF2H3
ATF1,SMG6
ATF1,PIP5K1B
ATF1,SCAF1
ATF1,SBDS
ATF1,SF3A3
ATF1,E2F8
ATF1,TUFM
ATF1,C16orf74
ATF1,SNAPC5
ATF1,PELO
ATF1,SNX16
ATF1,TFDP1
ATF1,URGCP
ATF1,XXYLT1
ATF1,SENP3
ATF1,FAM162A
ATF1,U2SURP
ATF1,SIKE1
ATF1,NOP58
