"final_gene_name"	"Z-score"	"Enriched in"	"affy_hg_u133_plus_2"
"1"	"TRAF4"	12.151	"LZ"	"202871_at"
"2"	"SRM"	10.758	"LZ"	"201516_at"
"3"	"IFI30"	10.753	"LZ"	"201422_at"
"4"	"AC007192.1"	10.753	"LZ"	"201422_at"
"5"	"TNFAIP3"	8.998	"LZ"	"202643_s_at"
"6"	"BCL2A1"	8.959	"LZ"	"205681_at"
"7"	"CD83"	8.866	"LZ"	"204440_at"
"8"	"CCL22"	8.388	"LZ"	"207861_at"
"9"	"SNX9"	8.026	"LZ"	"223027_at"
"10"	"JAK3"	7.666	"LZ"	"227677_at"
"11"	"RAB3GAP2"	7.616	"LZ"	"202374_s_at"
"12"	"RSL1D1"	7.384	"LZ"	"212018_s_at"
"13"	"EBI3"	7.255	"LZ"	"219424_at"
"14"	"MALAT1"	7.237	"LZ"	"224558_s_at"
"15"	"AP000769.5"	7.237	"LZ"	"224558_s_at"
"16"	"PPAN"	7.032	"LZ"	"221649_s_at"
"17"	"DDX21"	6.981	"LZ"	"224654_at"
"18"	"NFKBIA"	6.917	"LZ"	"201502_s_at"
"19"	"EGR3"	6.878	"LZ"	"206115_at"
"20"	"BIRC3"	6.877	"LZ"	"230499_at"
"21"	"LPCAT1"	6.858	"LZ"	"201818_at"
"22"	"LPCAT1"	6.858	"LZ"	"201818_at"
"23"	"SEMA7A"	6.741	"LZ"	"230345_at"
"24"	"SEMA7A"	6.741	"LZ"	"230345_at"
"25"	"---"	6.694	"LZ"	"242406_at"
"26"	"BATF"	6.591	"LZ"	"205965_at"
"27"	"TET3"	6.416	"LZ"	"235542_at"
"28"	"AC010422.3"	6.335	"LZ"	"209166_s_at"
"29"	"MAN2B1"	6.335	"LZ"	"209166_s_at"
"30"	"CD44"	6.187	"LZ"	"217523_at"
"31"	"RSAD1"	6.03	"LZ"	"218307_at"
"32"	"HSP90AB1"	5.986	"LZ"	"1557910_at"
"33"	"EGR2"	5.946	"LZ"	"205249_at"
"34"	"MIR155HG"	5.888	"LZ"	"229437_at"
"35"	"MIR155"	5.888	"LZ"	"229437_at"
"36"	"ZNF593"	5.864	"LZ"	"204175_at"
"37"	"TAP1"	5.825	"LZ"	"202307_s_at"
"38"	"TAP1"	5.825	"LZ"	"202307_s_at"
"39"	"TAP1"	5.825	"LZ"	"202307_s_at"
"40"	"TAP1"	5.825	"LZ"	"202307_s_at"
"41"	"TAP1"	5.825	"LZ"	"202307_s_at"
"42"	"TAP1"	5.825	"LZ"	"202307_s_at"
"43"	"TAP1"	5.825	"LZ"	"202307_s_at"
"44"	"TAP1"	5.825	"LZ"	"202307_s_at"
"45"	"HSPA5"	5.801	"LZ"	"211936_at"
