geneset genes
s_genes MCM5
s_genes PCNA
s_genes TYMS
s_genes FEN1
s_genes MCM7
s_genes MCM4
s_genes RRM1
s_genes UNG
s_genes GINS2
s_genes MCM6
s_genes CDCA7
s_genes DTL
s_genes PRIM1
s_genes UHRF1
s_genes CENPU
s_genes HELLS
s_genes RFC2
s_genes POLR1B
s_genes NASP
s_genes RAD51AP1
s_genes GMNN
s_genes WDR76
s_genes SLBP
s_genes CCNE2
s_genes UBR7
s_genes POLD3
s_genes MSH2
s_genes ATAD2
s_genes RAD51
s_genes RRM2
s_genes CDC45
s_genes CDC6
s_genes EXO1
s_genes TIPIN
s_genes DSCC1
s_genes BLM
s_genes CASP8AP2
s_genes USP1
s_genes CLSPN
s_genes POLA1
s_genes CHAF1B
s_genes MRPL36
s_genes E2F8
g2m_genes HMGB2
g2m_genes CDK1
g2m_genes NUSAP1
g2m_genes UBE2C
g2m_genes BIRC5
g2m_genes TPX2
g2m_genes TOP2A
g2m_genes NDC80
g2m_genes CKS2
g2m_genes NUF2
g2m_genes CKS1B
g2m_genes MKI67
g2m_genes TMPO
g2m_genes CENPF
g2m_genes TACC3
g2m_genes PIMREG
g2m_genes SMC4
g2m_genes CCNB2
g2m_genes CKAP2L
g2m_genes CKAP2
g2m_genes AURKB
g2m_genes BUB1
g2m_genes KIF11
g2m_genes ANP32E
g2m_genes TUBB4B
g2m_genes GTSE1
g2m_genes KIF20B
g2m_genes HJURP
g2m_genes CDCA3
g2m_genes JPT1
g2m_genes CDC20
g2m_genes TTK
g2m_genes CDC25C
g2m_genes KIF2C
g2m_genes RANGAP1
g2m_genes NCAPD2
g2m_genes DLGAP5
g2m_genes CDCA2
g2m_genes CDCA8
g2m_genes ECT2
g2m_genes KIF23
g2m_genes HMMR
g2m_genes AURKA
g2m_genes PSRC1
g2m_genes ANLN
g2m_genes LBR
g2m_genes CKAP5
g2m_genes CENPE
g2m_genes CTCF
g2m_genes NEK2
g2m_genes G2E3
g2m_genes GAS2L3
g2m_genes CBX5
g2m_genes CENPA
LZ_vitora_genes TRAF4
LZ_vitora_genes SRM
LZ_vitora_genes IFI30
LZ_vitora_genes AC007192.1
LZ_vitora_genes TNFAIP3
LZ_vitora_genes BCL2A1
LZ_vitora_genes CD83
LZ_vitora_genes CCL22
LZ_vitora_genes SNX9
LZ_vitora_genes JAK3
LZ_vitora_genes RAB3GAP2
LZ_vitora_genes RSL1D1
LZ_vitora_genes EBI3
LZ_vitora_genes MALAT1
LZ_vitora_genes AP000769.5
LZ_vitora_genes PPAN
LZ_vitora_genes DDX21
LZ_vitora_genes NFKBIA
LZ_vitora_genes EGR3
LZ_vitora_genes BIRC3
LZ_vitora_genes LPCAT1
LZ_vitora_genes SEMA7A
LZ_vitora_genes ---
LZ_vitora_genes BATF
LZ_vitora_genes TET3
LZ_vitora_genes AC010422.3
LZ_vitora_genes MAN2B1
LZ_vitora_genes CD44
LZ_vitora_genes RSAD1
LZ_vitora_genes HSP90AB1
LZ_vitora_genes EGR2
LZ_vitora_genes MIR155HG
LZ_vitora_genes MIR155
LZ_vitora_genes ZNF593
LZ_vitora_genes TAP1
LZ_vitora_genes HSPA5
LZ_vitora_genes KDM6B
LZ_vitora_genes KMO
LZ_vitora_genes MRTO4
LZ_vitora_genes PARP14
LZ_vitora_genes DUSP2
LZ_vitora_genes MIOS
LZ_vitora_genes AKR1A1
LZ_vitora_genes NME1-NME2
LZ_vitora_genes NME1
LZ_vitora_genes PUS7
LZ_vitora_genes SLC35F2
LZ_vitora_genes RRP15
LZ_vitora_genes PRDM1
LZ_vitora_genes HSPA12A
LZ_vitora_genes SGPP2
LZ_vitora_genes MDFIC
LZ_vitora_genes CALR
LZ_vitora_genes DIMT1
LZ_vitora_genes THRB-IT1
LZ_vitora_genes PRMT1
LZ_vitora_genes METTL1
LZ_vitora_genes PDIA6
LZ_vitora_genes MFSD1
LZ_vitora_genes DDX17
LZ_vitora_genes SLC17A9
LZ_vitora_genes MYC
LZ_vitora_genes POLR1C
LZ_vitora_genes BX571818.1
LZ_vitora_genes CLN5
LZ_vitora_genes TRMT1
LZ_vitora_genes NEDD9
LZ_vitora_genes VASP
LZ_vitora_genes DHX33
LZ_vitora_genes MYO1C
LZ_vitora_genes SNX11
LZ_vitora_genes PLAGL1
LZ_vitora_genes ABCA6
LZ_vitora_genes OTULIN
LZ_vitora_genes GAS5
LZ_vitora_genes RPF2
LZ_vitora_genes HIVEP3
LZ_vitora_genes TTC3
LZ_vitora_genes TTC3P1
LZ_vitora_genes SLAMF1
LZ_vitora_genes NFKBIE
LZ_vitora_genes FEZ1
LZ_vitora_genes GNL3
LZ_vitora_genes HLA-DQA1
LZ_vitora_genes HLA-DQA2
LZ_vitora_genes SYNGR2
LZ_vitora_genes PTPN6
LZ_vitora_genes GALNT6
LZ_vitora_genes BATF3
LZ_vitora_genes PAK1IP1
LZ_vitora_genes FCRL5
LZ_vitora_genes WDR4
LZ_vitora_genes LY75
LZ_vitora_genes MTHFD1L
LZ_vitora_genes NFKB1
LZ_vitora_genes DUSP4
LZ_vitora_genes NFKB2
LZ_vitora_genes MAN2A2
LZ_vitora_genes CAMTA1
LZ_vitora_genes AC009879.2
LZ_vitora_genes RRS1
LZ_vitora_genes MACC1
LZ_vitora_genes KYNU
LZ_vitora_genes IPO4
LZ_vitora_genes AL136295.4
LZ_vitora_genes AL136295.12
LZ_vitora_genes IQSEC1
LZ_vitora_genes MPEG1
LZ_vitora_genes LMO2
LZ_vitora_genes TM2D3
LZ_vitora_genes NEIL2
LZ_vitora_genes NOP16
LZ_vitora_genes CIITA
LZ_vitora_genes SAMSN1
LZ_vitora_genes HOPX
LZ_vitora_genes SLC2A3
LZ_vitora_genes RHOBTB3
LZ_vitora_genes HLA-F
LZ_vitora_genes MIR3142HG
LZ_vitora_genes ACKR3
LZ_vitora_genes AMIGO2
LZ_vitora_genes MKNK2
LZ_vitora_genes RNASET2
LZ_vitora_genes NRIP1
LZ_vitora_genes LRRC32
LZ_vitora_genes EGR1
LZ_vitora_genes GLDC
LZ_vitora_genes ICAM3
LZ_vitora_genes RAVER1
LZ_vitora_genes HLA-DQB1
LZ_vitora_genes DUSP22
LZ_vitora_genes C2CD4D-AS1
LZ_vitora_genes CD58
LZ_vitora_genes AC079630.1
LZ_vitora_genes IER2
LZ_vitora_genes RBBP8NL
LZ_vitora_genes QTRT1
LZ_vitora_genes LOC100288438
LZ_vitora_genes ICAM1
LZ_vitora_genes MYBBP1A
LZ_vitora_genes ADAT2
LZ_vitora_genes ZC3H12A
LZ_vitora_genes DUSP10
LZ_vitora_genes HACD2
LZ_vitora_genes AGMAT
LZ_vitora_genes SLC7A6
LZ_vitora_genes HLA-DPB2
LZ_vitora_genes SPARCL1
LZ_vitora_genes TMC8
LZ_vitora_genes AC093157.1
LZ_vitora_genes SLC39A14
LZ_vitora_genes ATIC
LZ_vitora_genes NT5C3A
LZ_vitora_genes NT5C3AP1
LZ_vitora_genes SMAGP
LZ_vitora_genes PADI2
LZ_vitora_genes BTN2A2
LZ_vitora_genes LRRK2
LZ_vitora_genes PLEK
LZ_vitora_genes BCAR3
LZ_vitora_genes CYTH1
LZ_vitora_genes LINC00158
LZ_vitora_genes AC104699.1
LZ_vitora_genes NIPA2
LZ_vitora_genes MAP3K8
LZ_vitora_genes LINC02099
LZ_vitora_genes DDX31
LZ_vitora_genes ABRACL
LZ_vitora_genes DHRS9
LZ_vitora_genes TTC27
LZ_vitora_genes NOC3L
LZ_vitora_genes PDCD4
LZ_vitora_genes MIR4680
LZ_vitora_genes PFAS
LZ_vitora_genes PASK
LZ_vitora_genes TRIB1
LZ_vitora_genes IL7
LZ_vitora_genes STAT6
LZ_vitora_genes JAM2
LZ_vitora_genes TMEM161A
LZ_vitora_genes AKAP5
LZ_vitora_genes IL21R
LZ_vitora_genes PARP15
LZ_vitora_genes MVP
LZ_vitora_genes TLCD1
LZ_vitora_genes ATP6V1C2
LZ_vitora_genes HLA-G
LZ_vitora_genes IL27RA
LZ_vitora_genes IER5
LZ_vitora_genes AL159163.1
LZ_vitora_genes PDGFA
LZ_vitora_genes LOC100130744
LZ_vitora_genes ITGB2
LZ_vitora_genes RCN1
LZ_vitora_genes HTR3A
LZ_vitora_genes GADD45G
LZ_vitora_genes CREM
LZ_vitora_genes ESR1
LZ_vitora_genes CD40
LZ_vitora_genes SUB1
LZ_vitora_genes GPR183
LZ_vitora_genes GNG8
LZ_vitora_genes C1orf61
LZ_vitora_genes IL4I1
LZ_vitora_genes POU6F1
LZ_vitora_genes PPRC1
LZ_vitora_genes SYNGR3
LZ_vitora_genes CCL3
LZ_vitora_genes CCL3L1
LZ_vitora_genes CCL3L3
LZ_vitora_genes AC131056.2
LZ_vitora_genes GMDS
LZ_vitora_genes SSTR2
LZ_vitora_genes C1orf115
LZ_vitora_genes FMNL2
LZ_vitora_genes SLC19A1
LZ_vitora_genes BTN3A3
LZ_vitora_genes HLA-DOA
LZ_vitora_genes CYTH4
LZ_vitora_genes RHEX
LZ_vitora_genes CCL4
LZ_vitora_genes HDAC9
LZ_vitora_genes IRF4
LZ_vitora_genes RAI1
LZ_vitora_genes NR4A1
LZ_vitora_genes GBP1
LZ_vitora_genes TBL1X
LZ_vitora_genes PHACTR1
LZ_vitora_genes RGL3
LZ_vitora_genes ARMH1
LZ_vitora_genes ADAM8
LZ_vitora_genes POLR1A
LZ_vitora_genes NABP1
LZ_vitora_genes BMI1
LZ_vitora_genes HES1
LZ_vitora_genes ICAM2
LZ_vitora_genes HSP90B1
LZ_vitora_genes MAPKAPK3
LZ_vitora_genes AL132656.4
LZ_vitora_genes CD72
LZ_vitora_genes CCDC151
LZ_vitora_genes AC018755.2
LZ_vitora_genes SIGLEC5
DZ_vitora_genes UBE2J1
DZ_vitora_genes ---
DZ_vitora_genes LPP
DZ_vitora_genes TP53INP1
DZ_vitora_genes BLOC1S6
DZ_vitora_genes ALOX5
DZ_vitora_genes DSTN
DZ_vitora_genes ZNF101
DZ_vitora_genes ARHGEF39
DZ_vitora_genes RNF144B
DZ_vitora_genes APBB2
DZ_vitora_genes CHD7
DZ_vitora_genes HIST1H2AG
DZ_vitora_genes ALDH7A1P1
DZ_vitora_genes ALDH7A1
DZ_vitora_genes TNFSF8
DZ_vitora_genes FAM107B
DZ_vitora_genes ZNF385B
DZ_vitora_genes SCRN1
DZ_vitora_genes BCRP2
DZ_vitora_genes BCRP6
DZ_vitora_genes AP000356.3
DZ_vitora_genes BCRP3
DZ_vitora_genes BCR
DZ_vitora_genes BCRP7
DZ_vitora_genes INCENP
DZ_vitora_genes WNK2
DZ_vitora_genes HRK
DZ_vitora_genes FOXP1
DZ_vitora_genes TMX4
DZ_vitora_genes APOBEC3A
DZ_vitora_genes APOBEC3B
DZ_vitora_genes AMN
DZ_vitora_genes AL117209.1
DZ_vitora_genes GAS2L3
DZ_vitora_genes POU4F1
DZ_vitora_genes CDC25C
DZ_vitora_genes RUBCNL
DZ_vitora_genes POLH
DZ_vitora_genes PRR15
DZ_vitora_genes RNF19B
DZ_vitora_genes OSBPL10
DZ_vitora_genes ASPM
DZ_vitora_genes MKI67
DZ_vitora_genes KIAA1211
DZ_vitora_genes TCL6
DZ_vitora_genes NDC1
DZ_vitora_genes YPEL1
DZ_vitora_genes IFT122
DZ_vitora_genes SEC14L1
DZ_vitora_genes SGCE
DZ_vitora_genes CYTH3
DZ_vitora_genes HES6
DZ_vitora_genes ABCA1
DZ_vitora_genes PEG10
DZ_vitora_genes ST14
DZ_vitora_genes SAC3D1
DZ_vitora_genes RNFT2
DZ_vitora_genes OAS1
DZ_vitora_genes PTTG3P
DZ_vitora_genes ISG20
DZ_vitora_genes CDKN2D
DZ_vitora_genes DEPTOR
DZ_vitora_genes CEP70
DZ_vitora_genes SMAD1
DZ_vitora_genes KIFC1
DZ_vitora_genes TJP2
DZ_vitora_genes AL358113.1
DZ_vitora_genes AL133467.6
DZ_vitora_genes SGPP1
DZ_vitora_genes H1FX
DZ_vitora_genes RAD17
DZ_vitora_genes UBR5-AS1
DZ_vitora_genes SYBU
DZ_vitora_genes SLCO3A1
DZ_vitora_genes SLC2A5
DZ_vitora_genes CDKN2C
DZ_vitora_genes PTP4A2
DZ_vitora_genes POU2AF1
DZ_vitora_genes PRKAR2B
DZ_vitora_genes SUSD3
DZ_vitora_genes WDR66
DZ_vitora_genes SLC30A4
DZ_vitora_genes PRDM15
DZ_vitora_genes CCND3
DZ_vitora_genes AL359711.2
DZ_vitora_genes HMGB3
DZ_vitora_genes STK38
DZ_vitora_genes RAPGEF2
DZ_vitora_genes RBFOX2
DZ_vitora_genes SSBP2
DZ_vitora_genes FAM72B
DZ_vitora_genes FAM72A
